ID,RM_ADD_OP,RM_ADD_DATE,RM_ADD_TIME,RM_EDIT_OP,RM_EDIT_DATE,RM_EDIT_TIME,RM_CUST,RM_NUMBER,RM_NAME,RM_NOTE_1,RM_NOTE_2,RM_NOTE_3,RM_DBL_1,RM_DBL_2,RM_DBL_3,RM_DATE_1,RM_ACTIVE,RM_COY_NUM,RM_TAX_NUM,RM_BUYER_NAME,RM_BUYER_SAL,RM_BUYER_PHONE,RM_ACCTS_NAME,RM_ACCTS_SAL,RM_ACCTS_PHONE,RM_PARENT,RM_REP,RM_AREA,RM_ANAL,RM_SOURCE,RM_INDUSTRY,RM_INDUSTRY_1,RM_INDUSTRY_2,RM_INDUSTRY_3,RM_INDUSTRY_4,RM_CATEGORY,RM_PROGRAM,RM_PROGRAM_1,RM_PROGRAM_2,RM_PROGRAM_3,RM_PROGRAM_4,RM_PROGRAM_5,RM_PROGRAM_6,RM_PROGRAM_7,RM_PROGRAM_8,RM_PROGRAM_9,RM_STD_ACCT,RM_STD_BRANCH,RM_USAGE,RM_CURR,RM_BAL_TYPE,RM_STATUS,RM_DELETE,RM_TERMS,RM_TERM_DAY,RM_CRD_LIMIT,RM_CRD_RATING,RM_OVERDUE_INT,RM_AGING_INT,RM_INSTANT,RM_ARTWORK_FILE,RM_NEW_EXPIRY,RM_STMT_MSGS,RM_STD_METHOD,RM_STD_CB_BANK,RM_STD_RCPT_TYPE,RM_STD_CUST_BANK,RM_STD_CUST_BRAN,RM_STD_DRAWER,RM_STD_REFERENCE,RM_SEC_RCPT_TYPE,RM_SEC_CUST_BANK,RM_SEC_CUST_BRAN,RM_SEC_DRAWER,RM_SEC_REFERENCE,RM_PROMPT_DISC,RM_STD_TAX,RM_INV_DISC,RM_PRICE_SCALE,RM_BROKER_COMM,RM_JOB_MARKUP,RM_JOB_GRADING,RM_JOB_PRIORITY,RM_WIP_TOTAL,RM_PAY_HIST,RM_PAY_HIST_1,RM_PAY_HIST_2,RM_PAY_HIST_3,RM_PAY_HIST_4,RM_PAY_HIST_5,RM_PAY_HIST_6,RM_PAY_HIST_7,RM_PAY_HIST_8,RM_PAY_HIST_9,RM_PAY_HIST_10,RM_PAY_HIST_11,RM_COLLECT_NUM,RM_COLLECT_DAYS,RM_LAST_RCPT_DATE,RM_LAST_RCPT,RM_LAST_RCPT_1,RM_LAST_INV_DATE,RM_LAST_INV,RM_LAST_INV_1,RM_LAST_QUOTE_DATE,RM_LAST_JOB_DATE,RM_FIRST_JOB_DATE,RM_BAL4,RM_BAL4_1,RM_BAL4_2,RM_BAL4_3,RM_BAL3,RM_BAL3_1,RM_BAL3_2,RM_BAL3_3,RM_BAL2,RM_BAL2_1,RM_BAL2_2,RM_BAL2_3,RM_BAL1,RM_BAL1_1,RM_BAL1_2,RM_BAL1_3,RM_BAL0,RM_BAL0_1,RM_BAL0_2,RM_BAL0_3,RM_BAL_OWE,RM_BAL_OWE_1,RM_BAL_OWE_2,RM_BAL_OWE_3,RM_BAL_FUT,RM_BAL_FUT_1,RM_BAL_FUT_2,RM_BAL_FUT_3,RM_BAL_TOT,RM_BAL_TOT_1,RM_BAL_TOT_2,RM_BAL_TOT_3,RM_HAS_BAL,RM_PIC_PATH,RM_STOCK_VAL,RM_QUOTES_OUT,RM_QUOTES_VAL,RM_JOBS_OUT,RM_JOBS_VAL,RM_SALUT,RM_TITLE,RM_TYPE,RM_TERR,RM_CPO_PROF,RM_CFO_PROF,RM_STAFF,RM_TURNOVER,RM_SUPP,RM_COMPET,RM_OPERATIONS,RM_IDDET,RM_GOALS,RM_PRODUCTS,RM_COMPTN,RM_POTENT,RM_COMMENT,RM_PRIOR,RM_MANAG,RM_SPARE,RM_CYCLE_USE,RM_CYCLE,RM_CYCLE_DESC,RM_CYCLE_DATE,RM_CYCLE_TIME,RM_SPARE_LONG_1,RM_SPARE_LONG_2,RM_SPARE_LONG_3,RM_SPARE_DOUBLE_1,RM_SPARE_DOUBLE_2,RM_SPARE_DOUBLE_3,RM_SPARE_DOUBLE_4,RM_SPARE_CHAR_1,RM_SPARE_CHAR_2,RM_SPARE_CHAR_3,RM_SPARE_CHAR_4,RM_SPARE_CHAR_5,RM_JOB_OVERRUN,RM_COORDINATOR,RM_OVERDUE_LIMIT,RM_OVERDUE_AGING,RM_ALLOW_PARTIAL,RM_COLOUR,RM_GROUP_CUST,RM_SOP_LEAD_DAYS,RM_INTER_COY,RM_DEF_ACTION,RM_DEF_CHARGE,RM_DEF_STATUS,RM_DEF_SELECTION,RM_DEF_CHRG_DESP,RM_STYLE,RM_AS_AT_ERA,RM_CHECK_SUM,RM_CURRENT_WIP_QJ,RM_CURRENT_WIP_SO,RM_STD_TAX_X,RM_STD_TAX_X_1,RM_STD_TAX_X_2,RM_STD_TAX_X_3,RM_ESD_USERS,RM_ESD_ADMINISTRATOR,RM_ESD_EDIT_USERS,RM_EXT_REF,RM_PICKPACK_CHG_TYPE,RM_PICKPACK_CHG,RM_PICKPACK_CHG_1,RM_ORDER_PROCESS_CHG,RM_ORDER_PROCESS_CHG_1,RM_GRADING,RM_LEVEL_ID,RM_INVOICE_TYPE,RM_DISC_TERMS,RM_DISC_DAYS,RM_DISC_DAYS_2,RM_TERM_DAY_2,RM_CUT_OFF_DAY,RM_UID,oid
1,NTE   ,2008-01-04 00:00:00,134704,BMIT  ,2009-07-24 00:00:00,142529,ALL001      ,0,All Clear Printing                                                      ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,123                   ,                                    ,            ,                      ,123                                 ,            ,                      ,            ,99          ,QLD         ,            ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,            ,CHEQ        ,                      ,                      ,All Clear Printing                  ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,448,0,0,0,0,0,0,0,0,0,0,0,1,448,1900-01-01 00:00:00,0.00000000,0.00000000,1900-01-01 00:00:00,0.00000000,0.00000000,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,0,0.00000000,0,0.00000000,            ,            ,0,            ,            ,123         ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,0.00000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100196,A3283AEE-37A0-4A46-A9FB-607F1384DC35
2,NTE   ,2008-01-04 00:00:00,135032,BMIT  ,2009-07-24 00:00:00,142607,AUS001      ,0,Australian Hairdressers Journal                                         ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,                      ,                                    ,            ,                      ,                                    ,            ,                      ,            ,99          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,Australian Hairdressers Journal     ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,114,0,0,0,0,0,0,0,0,0,0,0,1,114,2008-02-22 00:00:00,4469.19000000,0.00000000,1900-01-01 00:00:00,0.00000000,0.00000000,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,0,0.00000000,0,0.00000000,            ,            ,0,            ,            ,            ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,0.00000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100001,473DB154-00CF-44A1-B8BE-F1C8F0E314D0
3,NTE   ,2008-01-04 00:00:00,135315,JW    ,2017-10-17 00:00:00,135521,BUC001      ,0,The Buckner Group Pty Ltd                                               ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,1,                      ,47 009 739 422        ,Tamara Whapshott                    ,            ,(07) 3865 9602        ,Becky                               ,            ,(07) 3865 9632        ,            ,59          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,0,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,Buckner Group                       ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,70,62,63,61,70,73,66,83,71,79,82,78,934,60500,2017-10-09 00:00:00,11863.12000000,0.00000000,2017-09-30 00:00:00,2519.29000000,0.00000000,2017-10-17 00:00:00,2017-09-27 00:00:00,2008-06-05 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14491.29000000,0.00000000,0.00000000,0.00000000,9853.10000000,0.00000000,14491.29000000,0.00000000,0.00000000,0.00000000,9853.10000000,0.00000000,24344.39000000,0.00000000,24344.39000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,24344.39000000,0.00000000,24344.39000000,0.00000000,1,                                                                                  ,0,306,1154637.79000000,4,8.68000000,            ,            ,0,            ,BUC001 105  ,BUC001 106  ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,-698112.55000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100233,1F4AAA8D-2867-4FA4-AA8D-2DB766F49FCF
4,NTE   ,2008-01-04 00:00:00,135447,BMIT  ,2009-07-24 00:00:00,143559,COL001      ,0,Colorcorp                                                               ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,81894921216           ,Steve Smith                         ,            ,3853 2235             ,Margret Brown                       ,            ,3853 2204             ,            ,99          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,Colorcorp                           ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,31,26,51,63,61,0,0,0,0,0,0,0,11,553,2008-06-27 00:00:00,137.47000000,0.00000000,2008-05-27 00:00:00,137.47000000,0.00000000,2008-01-24 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,0,-0.02000000,0,0.00000000,            ,            ,0,            ,COL001 100  ,COL001 101  ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,0.00000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100236,6D85066E-7A05-47F3-A4CB-F06EF4E519A7
5,NTE   ,2008-01-04 00:00:00,135744,KH    ,2016-08-02 00:00:00,111417,D&D001      ,0,D&D Colour Printing                                                     ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,xxx                   ,                                    ,            ,                      ,Steve McCombes                      ,            ,3265 1855             ,            ,99          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,1,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,D&D Colour Printing                 ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,465,603,0,54,73,56,140,104,49,45,0,0,18,4031,2009-10-13 00:00:00,454.78000000,0.00000000,2011-06-30 00:00:00,21571.31000000,0.00000000,2010-04-12 00:00:00,2010-03-23 00:00:00,2008-10-13 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,60,211429.75000000,0,0.00000000,            ,            ,0,            ,            ,D&D001 100  ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,-20163.82000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100238,D9D541AB-8A34-44ED-8D43-3D9CD47B641B
6,NTE   ,2008-01-04 00:00:00,135904,KH    ,2015-05-05 00:00:00,105111,DDM001      ,0,DDM Australia                                                           ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,                      ,                                    ,            ,                      ,                                    ,            ,                      ,            ,99          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,DDM Australia                       ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,72,108,95,0,0,0,0,0,0,0,0,0,7,681,2008-07-11 00:00:00,3894.00000000,0.00000000,2008-04-30 00:00:00,3894.00000000,0.00000000,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,0,0.00000000,0,0.00000000,            ,            ,0,            ,            ,            ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,0.00000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100002,B5A24533-AB88-4217-9D78-84BBB8BA51C2
7,NTE   ,2008-01-04 00:00:00,135954,PWC   ,2017-09-26 00:00:00,155940,DEA001      ,0,Deaf Lottery Australia                                                  ,                                    ,6116405                             ,16400121                            ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,1,                      ,62 118 664 298        ,                                    ,            ,                      ,Linda Hewett                        ,            ,07 3361 1300          ,            ,63          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,14,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,Deaf Lottery Australia              ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,24,11,11,29,25,25,24,24,47,24,11,42,1182,25803,2017-10-25 00:00:00,1486.26000000,0.00000000,2017-10-12 00:00:00,143.00000000,0.00000000,2017-01-24 00:00:00,2017-10-30 00:00:00,2008-06-04 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20391.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20391.02000000,0.00000000,20391.02000000,0.00000000,20391.02000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,20391.02000000,0.00000000,20391.02000000,0.00000000,1,                                                                                  ,0,115,569918.21000000,20,67509.93000000,            ,            ,0,            ,            ,DEA001 103  ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,-343337.15000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100239,E4025C34-7808-4029-8F0F-28E44081106C
8,NTE   ,2008-01-04 00:00:00,140107,JW    ,2017-08-25 00:00:00,131232,DEA002      ,0,Deaf Services                                                           ,                                    ,8283143                             ,16400121                            ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,1,                      ,                      ,                                    ,            ,                      ,                                    ,            ,                      ,            ,59          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,Deaf Services                       ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,0,7,10,10,51,100,11,7,7,14,21,27,30,578,2017-07-06 00:00:00,911.54000000,0.00000000,2017-07-20 00:00:00,2410.85000000,0.00000000,2017-06-06 00:00:00,2017-10-10 00:00:00,2008-09-08 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,33,38479.52000000,0,0.00000000,            ,            ,0,            ,            ,            ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,-10648.38000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100003,6A5417C0-0C38-4E7B-8F28-41E0C8244CE9
9,NTE   ,2008-01-04 00:00:00,140159,BMIT  ,2009-07-24 00:00:00,144332,DPM001      ,0,DPM Communications                                                      ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,                      ,                                    ,            ,                      ,                                    ,            ,                      ,            ,99          ,VIC         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,DPM Communications                  ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,88,0,0,0,0,0,0,0,0,0,0,0,1,88,2008-01-04 00:00:00,3139.73000000,0.00000000,1900-01-01 00:00:00,0.00000000,0.00000000,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,0,0.00000000,0,0.00000000,            ,            ,0,            ,            ,            ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,0.00000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100004,7449330E-260E-49CB-B6ED-1767624C66F9
10,NTE   ,2008-01-04 00:00:00,140319,BMIT  ,2009-07-24 00:00:00,144414,FRI001      ,0,Friday Investments Properties P/L                                       ,                                    ,                                    ,                                    ,0.00000000,0.00000000,0.00000000,1900-01-01 00:00:00,0,                      ,                      ,                                    ,            ,                      ,                                    ,            ,                      ,            ,99          ,QLD         ,01          ,            ,            ,            ,            ,            ,            ,0,            ,            ,            ,            ,            ,            ,            ,            ,            ,            ,                  ,      ,0,      ,1,0,0,0,30,0.00000000,0,0.00000000,3,0,                                                                                  ,1900-01-01 00:00:00,1,            ,BOQTRADING  ,CHEQ        ,                      ,                      ,Friday Investments Properties P/L   ,                      ,            ,                      ,                      ,                                    ,                      ,0.00000000,      ,0.00000000,0,0.00000000,0.00000000,2,0,0.00000000,244,0,0,0,0,0,0,0,0,0,0,0,1,244,2008-01-30 00:00:00,183.70000000,0.00000000,1900-01-01 00:00:00,0.00000000,0.00000000,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01 00:00:00,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,                                                                                  ,0,0,0.00000000,0,0.00000000,            ,            ,0,            ,            ,            ,0,0.00000000,            ,            ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,                                    ,            ,            ,            ,1,0,                                    ,1900-01-01 00:00:00,-1,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,                                    ,                                    ,                                    ,                                    ,                                    ,0.00000000,                                    ,0.00000000,0,0,16777215,            ,0,0,1,0,0,0,1,SC          ,0,0,0.00000000,0.00000000,      ,      ,      ,      ,0,            ,0,                                    ,0,0.00000000,0.00000000,0.00000000,0.00000000,            ,                ,0,0,1,0,0,0,100005,4305CEC8-0F49-46C0-9408-7A91037063B9
